FairShip verification: our retina/NLL trackers (4 targets) vs FairShip, on data/mc.
Three regimes (hit source varies, all else fixed): our StereoTracking sim material OFF, our sim
material ON, and FairShip's OWN digitized daughter hits (real spectrometer field map + geometry
calibrated from the MC hit cloud).
Columns: R=retina N=NLL | Tu=tubes(V1, wire centre) TD=TDC(V2, raw readout, network proxy)
         Dr=drift(V3, smeared r_drift) Hi=hits(V4, exact x,y, sanity floor).  +FairShip = its reco.
Cuts: OUR trackers use OUR cuts (>=25 hits/track, >=3 stations, chi2/Ndf<4, DoCA<=2cm, from our
      fit); the FairShip column uses FAIRSHIP cuts (events FairShip reconstructed). 'acceptance %'
      = fraction passing; all other rows are on each column's accepted subset.
Table 1 rows: dp/|p| (median/RMS %); p_x/y/z & vertex_x/y/z (median|err|, RMSE; GeV/cm); doca cm.
Table 2 rows: per-component R^2 = 1 - MSE/Var(true) (1=perfect, 0=predict-the-mean, <0=worse).
Fit on the first 16384 events.

====================================================================================================
# MASTER TABLE 1 -- physical units (cm, GeV)
====================================================================================================

## OUR SIM, material = OFF (clean daughters)
| metric        |    R-Tu |    R-TD |   R-Dr |    R-Hi |   N-Tu |    N-TD |    N-Dr |    N-Hi |   FairShip |
| vertex_x R2  |  0.976 |  0.992 |  0.991 |  0.992 |  0.987 |  0.992 |  0.992 |  0.993 |      0.996 |
| vertex_y R2  |  0.994 |  0.996 |  0.995 |  0.997 |  0.995 |  0.996 |  0.995 |  0.996 |          1 |
| vertex_z R2  |  0.927 |  0.988 |  0.985 |  0.989 |  0.956 |  0.991 |  0.988 |   0.99 |      0.982 |
| p_x R2       | -3.312 | -1.623 | -1.277 | -1.134 | -0.018 | -1.194 | -0.967 | -0.841 |       0.99 |
| p_y R2       | -0.772 |  0.791 |  0.818 |  0.828 |  0.349 |   0.81 |   0.83 |  0.839 |      0.995 |
| p_z R2       | -4.259 |  0.687 |  0.731 |  0.759 | -2.817 |  0.746 |  0.772 |  0.794 |      0.998 |

## FAIRSHIP'S OWN HITS (real field map, calibrated geometry)
| metric       |   R-Tu |   R-TD |   R-Dr |   R-Hi |   N-Tu |   N-TD |   N-Dr |   N-Hi |   FairShip |
|--------------|--------|--------|--------|--------|--------|--------|--------|--------|------------|
| acceptance % | 12.494 | 24.652 | 28.455 | 32.947 | 15.753 | 29.083 | 32.184 | 37.061 |     20.282 |
| vertex_x R2  |   0.99 |      1 |      1 |      1 |  0.992 |      1 |      1 |      1 |      0.996 |
| vertex_y R2  |  0.999 |      1 |      1 |      1 |  0.999 |      1 |      1 |      1 |          1 |
| vertex_z R2  |  0.959 |  0.997 |  0.997 |  0.997 |  0.932 |  0.998 |  0.998 |  0.998 |      0.982 |
| p_x R2       | -0.725 |      1 |      1 |      1 |  -1.51 |  0.999 |  0.999 |  0.999 |       0.99 |
| p_y R2       |  0.366 |  0.999 |  0.998 |  0.999 |   0.67 |  0.999 |  0.998 |  0.998 |      0.995 |
| p_z R2       | -1.484 |  0.999 |  0.999 |  0.999 | -2.372 |  0.999 |  0.999 |  0.999 |      0.998 |
